"","District","year","month","avg_pm2.5_monthly"
"135","Siha","2016","03",18.1256307116912
"136","Siha","2016","04",13.2124117111221
"137","Siha","2016","05",13.4074671982997
"138","Siha","2016","06",6.64712411820828
"139","Siha","2016","07",20.7083753533849
"140","Siha","2016","08",11.2488395640877
"141","Siha","2016","09",9.58839553925392
"142","Siha","2016","10",13.1774974807601
"143","Siha","2016","11",18.9569122004581
"144","Siha","2016","12",27.6876891566333
"145","Siha","2017","01",13.1084762885039
"146","Siha","2017","02",17.6878910757579
"147","Siha","2017","03",19.3272451829958
"148","Siha","2017","04",18.4639758130255
"149","Siha","2017","05",14.2013118004823
"150","Siha","2017","06",8.6271443030187
"151","Siha","2017","07",15.8324924338117
"152","Siha","2017","08",8.89202825188276
"153","Siha","2017","09",8.55126134562565
"154","Siha","2017","10",12.9434914285793
"155","Siha","2017","11",21.3049445166718
"156","Siha","2017","12",31.1839555149483
"157","Siha","2018","01",20.0683148381207
"158","Siha","2018","02",13.7809283326781
"159","Siha","2018","03",21.2880928085743
"160","Siha","2018","04",18.0135216996841
"161","Siha","2018","05",13.1318870124855
"162","Siha","2018","06",13.0328960803635
"163","Siha","2018","07",16.2070635767686
"164","Siha","2018","08",11.2480322999502
"165","Siha","2018","09",14.6254288695535
"166","Siha","2018","10",21.0426841489482
"167","Siha","2018","11",20.9331987690853
"168","Siha","2018","12",29.3832492462682
"169","Siha","2019","01",20.5509586103268
"170","Siha","2019","02",17.3005045497213
"171","Siha","2019","03",16.0224016229993
"172","Siha","2019","04",11.207366285122
"173","Siha","2019","05",15.1935418722728
"174","Siha","2019","06",9.74641776349542
"175","Siha","2019","07",20.2450050359778
"176","Siha","2019","08",15.0518667931273
"177","Siha","2019","09",12.9761856687297
"178","Siha","2019","10",15.8646821456047
"179","Siha","2019","11",23.2285570400635
"180","Siha","2019","12",37.8144298749783
"181","Siha","2020","01",23.7580221870954
"182","Siha","2020","02",22.0187688898727
"183","Siha","2020","03",22.0571140246964
"184","Siha","2020","04",22.2193743487299
"185","Siha","2020","05",11.8968718448874
"186","Siha","2020","06",14.3487386482154
"187","Siha","2020","07",20.5084762977423
"188","Siha","2020","08",17.4160444055628
"189","Siha","2020","09",11.1308779042857
"190","Siha","2020","10",17.8527749501372
"191","Siha","2020","11",25.3700302635986
"192","Siha","2020","12",29.9226034320327
"193","Siha","2021","01",23.1416750752962
"194","Siha","2021","02",14.729767912933
"195","Siha","2021","03",18.0784057007067
"196","Siha","2021","04",17.9121090160489
"197","Siha","2021","05",12.9007063277675
"198","Siha","2021","06",17.3417759721142
"199","Siha","2021","07",15.2371341972851
"200","Siha","2021","08",13.2826438176283
"201","Siha","2021","09",14.5928355244888
"202","Siha","2021","10",16.7675075579123
"203","Siha","2021","11",21.8347124047765
"204","Siha","2021","12",32.3928355477773
"205","Siha","2022","01",17.6292633697556
"206","Siha","2022","02",18.8621594075839
"207","Siha","2022","03",20.8867810342675
"208","Siha","2022","04",20.9082744686924
"209","Siha","2022","05",12.7805247359752
"210","Siha","2022","06",10.704036323863
"211","Siha","2022","07",15.9280524730201
"212","Siha","2022","08",12.5389505621162
"213","Siha","2022","09",17.2268415964937
"214","Siha","2022","10",18.8478304894733
"215","Siha","2022","11",22.2820383200852
"216","Siha","2022","12",27.8497477164783
