"","variable","value","year","district","month"
"581","Monthly mean maximum temperature ",23.2,"2018","Siha","May"
"582","Monthly mean maximum temperature ",22.7,"2018","Siha","Jun"
"583","Monthly mean maximum temperature ",22.5,"2018","Siha","Jul"
"584","Monthly mean maximum temperature ",23.8,"2018","Siha","Aug"
"585","Monthly mean maximum temperature ",25.6,"2018","Siha","Sep"
"586","Monthly mean maximum temperature ",24.8,"2018","Siha","Oct"
"587","Monthly mean maximum temperature ",25.4,"2018","Siha","Nov"
"588","Monthly mean maximum temperature ",24.3,"2018","Siha","Dec"
"589","Monthly mean minimum temperature ",15.4,"2018","Siha","Jan"
"590","Monthly mean minimum temperature ",15.2,"2018","Siha","Feb"
"591","Monthly mean minimum temperature ",16.1,"2018","Siha","Mar"
"592","Monthly mean minimum temperature ",16.4,"2018","Siha","Apr"
"593","Monthly mean minimum temperature ",14.9,"2018","Siha","May"
"594","Monthly mean minimum temperature ",13,"2018","Siha","Jun"
"595","Monthly mean minimum temperature ",13.4,"2018","Siha","Jul"
"596","Monthly mean minimum temperature ",12.5,"2018","Siha","Aug"
"597","Monthly mean minimum temperature ",13.7,"2018","Siha","Sep"
"598","Monthly mean minimum temperature ",15,"2018","Siha","Oct"
"599","Monthly mean minimum temperature ",15.2,"2018","Siha","Nov"
"600","Monthly mean minimum temperature ",15.1,"2018","Siha","Dec"
"601","Monthly mean temperature ",19.7,"2018","Siha","Jan"
"602","Monthly mean temperature ",21.1,"2018","Siha","Feb"
"603","Monthly mean temperature ",19.3,"2018","Siha","Mar"
"604","Monthly mean temperature ",19.4,"2018","Siha","Apr"
"605","Monthly mean temperature ",18.7,"2018","Siha","May"
"606","Monthly mean temperature ",17.6,"2018","Siha","Jun"
"607","Monthly mean temperature ",17.6,"2018","Siha","Jul"
"608","Monthly mean temperature ",18.2,"2018","Siha","Aug"
"609","Monthly mean temperature ",19.5,"2018","Siha","Sep"
"610","Monthly mean temperature ",19.6,"2018","Siha","Oct"
"611","Monthly mean temperature ",20,"2018","Siha","Nov"
"612","Monthly mean temperature ",19.5,"2018","Siha","Dec"
"613","Monthly mean maximum temperature ",25.5,"2019","Siha","Jan"
"614","Monthly mean maximum temperature ",26.6,"2019","Siha","Feb"
"615","Monthly mean maximum temperature ",27.7,"2019","Siha","Mar"
"616","Monthly mean maximum temperature ",27,"2019","Siha","Apr"
"617","Monthly mean maximum temperature ",23.8,"2019","Siha","May"
"618","Monthly mean maximum temperature ",22.8,"2019","Siha","Jun"
"619","Monthly mean maximum temperature ",23.5,"2019","Siha","Jul"
"620","Monthly mean maximum temperature ",24,"2019","Siha","Aug"
"621","Monthly mean maximum temperature ",25.3,"2019","Siha","Sep"
"622","Monthly mean maximum temperature ",23.9,"2019","Siha","Oct"
"623","Monthly mean maximum temperature ",23.5,"2019","Siha","Nov"
"624","Monthly mean maximum temperature ",23,"2019","Siha","Dec"
"625","Monthly mean minimum temperature ",15,"2019","Siha","Jan"
"626","Monthly mean minimum temperature ",15.2,"2019","Siha","Feb"
"627","Monthly mean minimum temperature ",15.6,"2019","Siha","Mar"
"628","Monthly mean minimum temperature ",17.5,"2019","Siha","Apr"
"629","Monthly mean minimum temperature ",16.4,"2019","Siha","May"
"630","Monthly mean minimum temperature ",14.5,"2019","Siha","Jun"
"631","Monthly mean minimum temperature ",13,"2019","Siha","Jul"
"632","Monthly mean minimum temperature ",12.8,"2019","Siha","Aug"
"633","Monthly mean minimum temperature ",13.5,"2019","Siha","Sep"
"634","Monthly mean minimum temperature ",15.5,"2019","Siha","Oct"
"635","Monthly mean minimum temperature ",15.4,"2019","Siha","Nov"
"636","Monthly mean minimum temperature ",15.9,"2019","Siha","Dec"
"637","Monthly mean temperature ",20.4,"2019","Siha","Jan"
"638","Monthly mean temperature ",20.9,"2019","Siha","Feb"
"639","Monthly mean temperature ",21.8,"2019","Siha","Mar"
"640","Monthly mean temperature ",21.8,"2019","Siha","Apr"
"641","Monthly mean temperature ",19.6,"2019","Siha","May"
"642","Monthly mean temperature ",18.4,"2019","Siha","Jun"
"643","Monthly mean temperature ",18.1,"2019","Siha","Jul"
"644","Monthly mean temperature ",18.4,"2019","Siha","Aug"
"645","Monthly mean temperature ",19.4,"2019","Siha","Sep"
"646","Monthly mean temperature ",19.4,"2019","Siha","Oct"
"647","Monthly mean temperature ",19.2,"2019","Siha","Nov"
"648","Monthly mean temperature ",19.1,"2019","Siha","Dec"
"649","Monthly mean maximum temperature ",23.5,"2020","Siha","Jan"
"650","Monthly mean maximum temperature ",25.3,"2020","Siha","Feb"
"651","Monthly mean maximum temperature ",25.3,"2020","Siha","Mar"
"652","Monthly mean maximum temperature ",24.2,"2020","Siha","Apr"
"653","Monthly mean maximum temperature ",24.5,"2020","Siha","May"
"654","Monthly mean maximum temperature ",23.9,"2020","Siha","Jun"
"655","Monthly mean maximum temperature ",22.9,"2020","Siha","Jul"
"656","Monthly mean maximum temperature ",24.3,"2020","Siha","Aug"
"657","Monthly mean maximum temperature ",25,"2020","Siha","Sep"
"658","Monthly mean maximum temperature ",25.9,"2020","Siha","Oct"
"659","Monthly mean maximum temperature ",24.5,"2020","Siha","Nov"
"660","Monthly mean maximum temperature ",25.2,"2020","Siha","Dec"
"661","Monthly mean minimum temperature ",16,"2020","Siha","Jan"
"662","Monthly mean minimum temperature ",15.8,"2020","Siha","Feb"
"663","Monthly mean minimum temperature ",16.9,"2020","Siha","Mar"
"664","Monthly mean minimum temperature ",16.6,"2020","Siha","Apr"
"665","Monthly mean minimum temperature ",15.3,"2020","Siha","May"
"666","Monthly mean minimum temperature ",13.9,"2020","Siha","Jun"
"667","Monthly mean minimum temperature ",13.1,"2020","Siha","Jul"
"668","Monthly mean minimum temperature ",13,"2020","Siha","Aug"
"669","Monthly mean minimum temperature ",13.5,"2020","Siha","Sep"
"670","Monthly mean minimum temperature ",14,"2020","Siha","Oct"
"671","Monthly mean minimum temperature ",15.7,"2020","Siha","Nov"
"672","Monthly mean minimum temperature ",14.8,"2020","Siha","Dec"
"673","Monthly mean temperature ",19.5,"2020","Siha","Jan"
"674","Monthly mean temperature ",20.3,"2020","Siha","Feb"
"675","Monthly mean temperature ",20.7,"2020","Siha","Mar"
"676","Monthly mean temperature ",19.9,"2020","Siha","Apr"
"677","Monthly mean temperature ",19.4,"2020","Siha","May"
"678","Monthly mean temperature ",18.6,"2020","Siha","Jun"
"679","Monthly mean temperature ",17.7,"2020","Siha","Jul"
"680","Monthly mean temperature ",18.5,"2020","Siha","Aug"
"681","Monthly mean temperature ",19.2,"2020","Siha","Sep"
"682","Monthly mean temperature ",20,"2020","Siha","Oct"
"683","Monthly mean temperature ",19.7,"2020","Siha","Nov"
"684","Monthly mean temperature ",19.8,"2020","Siha","Dec"
"685","Monthly mean minimum temperature ",14.9,"2021","Siha","Jan"
"686","Monthly mean minimum temperature ",15.4,"2021","Siha","Feb"
"687","Monthly mean minimum temperature ",15.7,"2021","Siha","Mar"
"688","Monthly mean minimum temperature ",16.5,"2021","Siha","Apr"
"689","Monthly mean minimum temperature ",15.3,"2021","Siha","May"
"690","Monthly mean minimum temperature ",13.1,"2021","Siha","Jun"
"691","Monthly mean minimum temperature ",13,"2021","Siha","Jul"
"692","Monthly mean minimum temperature ",12.8,"2021","Siha","Aug"
"693","Monthly mean minimum temperature ",13.7,"2021","Siha","Sep"
"694","Monthly mean minimum temperature ",14.8,"2021","Siha","Oct"
"695","Monthly mean minimum temperature ",15.3,"2021","Siha","Nov"
"696","Monthly mean minimum temperature ",16.1,"2021","Siha","Dec"
"697","Monthly mean maximum temperature ",24.9,"2021","Siha","Jan"
"698","Monthly mean maximum temperature ",25.2,"2021","Siha","Feb"
"699","Monthly mean maximum temperature ",26.5,"2021","Siha","Mar"
"700","Monthly mean maximum temperature ",25.1,"2021","Siha","Apr"
"701","Monthly mean maximum temperature ",23.1,"2021","Siha","May"
"702","Monthly mean maximum temperature ",22.6,"2021","Siha","Jun"
"703","Monthly mean maximum temperature ",22.1,"2021","Siha","Jul"
"704","Monthly mean maximum temperature ",24.1,"2021","Siha","Aug"
"705","Monthly mean maximum temperature ",24.6,"2021","Siha","Sep"
"706","Monthly mean maximum temperature ",25.5,"2021","Siha","Oct"
"707","Monthly mean maximum temperature ",26.4,"2021","Siha","Nov"
"708","Monthly mean maximum temperature ",24.3,"2021","Siha","Dec"
"709","Monthly mean temperature ",19.7,"2021","Siha","Jan"
"710","Monthly mean temperature ",20.1,"2021","Siha","Feb"
"711","Monthly mean temperature ",21,"2021","Siha","Mar"
"712","Monthly mean temperature ",20.3,"2021","Siha","Apr"
"713","Monthly mean temperature ",18.9,"2021","Siha","May"
"714","Monthly mean temperature ",17.7,"2021","Siha","Jun"
"715","Monthly mean temperature ",17.3,"2021","Siha","Jul"
"716","Monthly mean temperature ",18.7,"2021","Siha","Aug"
"717","Monthly mean temperature ",19.2,"2021","Siha","Sep"
"718","Monthly mean temperature ",20.1,"2021","Siha","Oct"
"719","Monthly mean temperature ",20.6,"2021","Siha","Nov"
"720","Monthly mean temperature ",19.8,"2021","Siha","Dec"
