district,date,pm2p5,temp_min,temp_mean,temp_max,utci,total_rainfall,greenness,n_raindays
Moshi,2015-01-01,18.6211539782011,21.11576726,25.77433648,30.4329057,33.2105555555556,18.6,0.366089567,2
Moshi,2015-02-01,17.9557693188007,20.07759706,25.46461452,30.85163199,33.4204629629629,28.6,0.365865935,2
Moshi,2015-03-01,23.8557691574097,20.77470042,26.65166319,32.52862597,33.3162037037037,87.8,0.391038101,5
Moshi,2015-04-01,16.6423079050504,17.83093485,23.88809227,29.9452497,29.2276851851852,502.1,0.428886608,7
Moshi,2015-05-01,14.163461630161,16.17207621,21.66053111,27.148986,25.8903703703704,225,0.530245788,1
Moshi,2015-06-01,17.7769229962276,16.61575963,21.62537005,26.63498047,26.2263888888889,20.7,0.501572808,3
Moshi,2015-07-01,16.8865384505345,16.88435785,21.72716357,26.56996929,25.8478703703704,20.2,0.395691024,3
Moshi,2015-08-01,9.80192301823543,16.52175278,22.54432864,28.5669045,30.9593518518518,14.7,0.39148078,3
Moshi,2015-09-01,15.0403846043807,17.79889978,23.74423342,29.68956706,34.3618518518519,5.7,0.376799634,2
Moshi,2015-10-01,20.221153992873,20.44365915,25.41443116,30.38520317,34.8064814814815,28.8,0.374291346,4
Moshi,2015-11-01,16.6653845860408,19.07547199,24.7765269,30.47758181,33.7430555555556,98.7,0.39278698,5
Moshi,2015-12-01,24.3576924617474,21.56933683,26.16934494,30.76935304,34.434537037037,70.1,0.426484668,4
Moshi,2016-01-01,20.8692307839027,22.00705953,27.2434739,32.479888269999996,33.4444444444444,83.4,0.418023625,7
Moshi,2016-02-01,18.3538461465102,20.44092879,25.50943068,30.57793256,33.2575,23.3,0.432697409,4
Moshi,2016-03-01,22.1711538388179,21.91519604,27.49518263,33.07516923,35.2727777777778,60.7,0.408284021,4
Moshi,2016-04-01,16.2730769194089,17.19233612,23.56367539,29.93501466,10.2391666666667,478.1,0.384756832,9
Moshi,2016-05-01,15.2057693371406,16.89146658,21.9537541,27.01604163,27.7446296296296,138.1,0.377555365,13
Moshi,2016-06-01,6.7365384376966,16.59474584,21.26112408,25.92750232,25.345237964463927,25.1,0.505249331,4
Moshi,2016-07-01,25.5442306445195,16.36544135,21.51452954,26.66361774,25.5407407407407,19.3,0.499738702,3
Moshi,2016-08-01,13.4326923443721,15.37373107,20.85580238,26.33787369,26.2842592592593,16.9,0.474474957,3
Moshi,2016-09-01,10.378846186858,16.9004045,23.17488984,29.44937518,30.6294444444444,6,0.428984289,2
Moshi,2016-10-01,14.6711538388179,19.71061644,24.93889708,30.16717771,33.6853703703704,33,0.375178992,4
Moshi,2016-11-01,18.3576923883878,19.07751203,24.8671701,30.65682818,33.6927777777778,70.5,0.371498318,8
Moshi,2016-12-01,29.4846154726469,20.99680184,25.97430271,30.95180358,34.8425,36.3,0.370342022,2
Moshi,2017-01-01,17.5038462051978,20.99267771,26.70706424,32.42145076,34.4962037037037,43.4,0.373472001,1
Moshi,2017-02-01,19.4403845713689,21.11482744,25.9246692,30.73451095,33.6700925925926,37.7,0.37468755,2
