"","District","value.ID","value.O3_column_number_density","month","year","o3"
"110","moshi",1,122469.8828125,"10","2018","O3"
"111","moshi",1,122808.03125,"10","2018","O3"
"112","moshi",1,122808.03125,"10","2018","O3"
"113","moshi",1,122803.96875,"10","2018","O3"
"114","moshi",1,122968.8984375,"10","2018","O3"
"115","moshi",1,119166.1328125,"11","2018","O3"
"116","moshi",1,119281.0078125,"11","2018","O3"
"117","moshi",1,119497.5625,"11","2018","O3"
"118","moshi",1,119617.7734375,"11","2018","O3"
"119","moshi",1,119617.7734375,"11","2018","O3"
"120","moshi",1,119595.0859375,"11","2018","O3"
"121","moshi",1,119605.78125,"11","2018","O3"
"122","moshi",1,119594.859375,"11","2018","O3"
"123","moshi",1,119609.921875,"11","2018","O3"
"124","moshi",1,119609.921875,"11","2018","O3"
"125","moshi",1,119627.1875,"11","2018","O3"
"126","moshi",1,119555.046875,"11","2018","O3"
"127","moshi",1,119752.4375,"11","2018","O3"
"128","moshi",1,119773.953125,"11","2018","O3"
"129","moshi",1,119408.6171875,"11","2018","O3"
"130","moshi",1,119531.2734375,"11","2018","O3"
"131","moshi",1,119628.6484375,"11","2018","O3"
"132","moshi",1,119628.6484375,"11","2018","O3"
"133","moshi",1,119592.84375,"11","2018","O3"
"134","moshi",1,119592.84375,"11","2018","O3"
"135","moshi",1,119540.7578125,"11","2018","O3"
"136","moshi",1,119602.796875,"11","2018","O3"
"137","moshi",1,119525.3984375,"11","2018","O3"
"138","moshi",1,119717.3984375,"11","2018","O3"
"139","moshi",1,119734.15625,"11","2018","O3"
"140","moshi",1,119834.6640625,"11","2018","O3"
"141","moshi",1,119525.5390625,"11","2018","O3"
"142","moshi",1,119628.6484375,"11","2018","O3"
"143","moshi",1,119656.7265625,"11","2018","O3"
"144","moshi",1,119618.578125,"11","2018","O3"
"145","moshi",1,119618.578125,"11","2018","O3"
"146","moshi",1,119540.7578125,"11","2018","O3"
"147","moshi",1,119646.078125,"11","2018","O3"
"148","moshi",1,119638.4765625,"11","2018","O3"
"149","moshi",1,119773.953125,"11","2018","O3"
"150","moshi",1,119826.1875,"11","2018","O3"
"151","moshi",1,119879.3203125,"11","2018","O3"
"152","moshi",1,119525.5390625,"11","2018","O3"
"153","moshi",1,119628.6484375,"11","2018","O3"
"154","moshi",1,119656.7265625,"11","2018","O3"
"155","moshi",1,119618.578125,"11","2018","O3"
"156","moshi",1,119618.578125,"11","2018","O3"
"157","moshi",1,119540.7578125,"11","2018","O3"
"158","moshi",1,119646.078125,"11","2018","O3"
"159","moshi",1,119638.4765625,"11","2018","O3"
"160","moshi",1,119773.953125,"11","2018","O3"
"161","moshi",1,119826.1875,"11","2018","O3"
"162","moshi",1,119579.109375,"11","2018","O3"
"163","moshi",1,119628.6484375,"11","2018","O3"
"164","moshi",1,119627.9140625,"11","2018","O3"
"165","moshi",1,119627.9140625,"11","2018","O3"
"166","moshi",1,119544.0859375,"11","2018","O3"
"167","moshi",1,119559.9921875,"11","2018","O3"
"168","moshi",1,119627.5390625,"11","2018","O3"
"169","moshi",1,119627.5390625,"11","2018","O3"
"170","moshi",1,119558.65625,"11","2018","O3"
"171","moshi",1,119563.15625,"11","2018","O3"
"172","moshi",1,115224.6484375,"12","2018","O3"
"173","moshi",1,115395.125,"12","2018","O3"
"174","moshi",1,115764.6015625,"12","2018","O3"
"175","moshi",1,115395.125,"12","2018","O3"
"176","moshi",1,115395.125,"12","2018","O3"
"177","moshi",1,115395.125,"12","2018","O3"
"178","moshi",1,115928.6015625,"12","2018","O3"
"179","moshi",1,115929.6640625,"12","2018","O3"
"180","moshi",1,115395.125,"12","2018","O3"
"181","moshi",1,115395.125,"12","2018","O3"
"182","moshi",1,115395.125,"12","2018","O3"
"183","moshi",1,115395.125,"12","2018","O3"
"184","moshi",1,115452.84375,"12","2018","O3"
"185","moshi",1,115452.84375,"12","2018","O3"
"186","moshi",1,115928.46875,"12","2018","O3"
"187","moshi",1,115928.46875,"12","2018","O3"
