"","District","value.ID","value.absorbing_aerosol_index","month","year"
"111","moshi",1,-1.05809962749481,"08","2018"
"112","moshi",1,-1.05809962749481,"08","2018"
"113","moshi",1,-1.1472624540329,"08","2018"
"114","moshi",1,-1.18900179862976,"08","2018"
"115","moshi",1,-1.11218333244324,"09","2018"
"116","moshi",1,-1.17123603820801,"09","2018"
"117","moshi",1,-1.15533351898193,"09","2018"
"118","moshi",1,-1.15634536743164,"09","2018"
"119","moshi",1,-1.15634536743164,"09","2018"
"120","moshi",1,-1.19236600399017,"09","2018"
"121","moshi",1,-1.02707648277283,"09","2018"
"122","moshi",1,-1.1292017698288,"09","2018"
"123","moshi",1,-1.03695428371429,"09","2018"
"124","moshi",1,-1.03695428371429,"09","2018"
"125","moshi",1,-1.04245114326477,"09","2018"
"126","moshi",1,-1.06244027614594,"09","2018"
"127","moshi",1,-0.904703140258789,"09","2018"
"128","moshi",1,-0.905579328536987,"09","2018"
"129","moshi",1,-1.15056300163269,"09","2018"
"130","moshi",1,-0.947028398513794,"09","2018"
"131","moshi",1,-0.947028398513794,"09","2018"
"132","moshi",1,-0.977020561695099,"09","2018"
"133","moshi",1,-1.05403518676758,"09","2018"
"134","moshi",1,-1.05403518676758,"09","2018"
"135","moshi",1,-1.05403518676758,"09","2018"
"136","moshi",1,-1.08446776866913,"09","2018"
"137","moshi",1,-0.962467074394226,"09","2018"
"138","moshi",1,-0.904810309410095,"09","2018"
"139","moshi",1,-0.942926168441772,"09","2018"
"140","moshi",1,-0.99703574180603,"09","2018"
"141","moshi",1,-0.947028398513794,"09","2018"
"142","moshi",1,-1.00281012058258,"09","2018"
"143","moshi",1,-1.05716240406036,"09","2018"
"144","moshi",1,-1.0747594833374,"09","2018"
"145","moshi",1,-1.0747594833374,"09","2018"
"146","moshi",1,-1.06568729877472,"09","2018"
"147","moshi",1,-1.08840847015381,"09","2018"
"148","moshi",1,-0.989452421665192,"09","2018"
"149","moshi",1,-0.885405898094177,"09","2018"
"150","moshi",1,-0.886282086372375,"09","2018"
"151","moshi",1,-0.899177730083466,"09","2018"
"152","moshi",1,-0.947028398513794,"09","2018"
"153","moshi",1,-1.00281012058258,"09","2018"
"154","moshi",1,-1.05716240406036,"09","2018"
"155","moshi",1,-1.0747594833374,"09","2018"
"156","moshi",1,-1.0747594833374,"09","2018"
"157","moshi",1,-1.06568729877472,"09","2018"
"158","moshi",1,-1.08840847015381,"09","2018"
"159","moshi",1,-0.989452421665192,"09","2018"
"160","moshi",1,-0.885405898094177,"09","2018"
"161","moshi",1,-0.886282086372375,"09","2018"
"162","moshi",1,-1.05503582954407,"09","2018"
"163","moshi",1,-1.09414565563202,"09","2018"
"164","moshi",1,-1.10284423828125,"09","2018"
"165","moshi",1,-1.10284423828125,"09","2018"
"166","moshi",1,-1.10404336452484,"09","2018"
"167","moshi",1,-1.09414565563202,"09","2018"
"168","moshi",1,-1.06381130218506,"09","2018"
"169","moshi",1,-1.06381130218506,"09","2018"
"170","moshi",1,-1.03997957706451,"09","2018"
"171","moshi",1,-1.03801512718201,"09","2018"
"172","moshi",1,-0.916715443134308,"10","2018"
"173","moshi",1,-0.918338477611542,"10","2018"
"174","moshi",1,-0.927892863750458,"10","2018"
"175","moshi",1,-0.899092376232147,"10","2018"
"176","moshi",1,-0.899092376232147,"10","2018"
"177","moshi",1,-0.959563374519348,"10","2018"
"178","moshi",1,-0.943843424320221,"10","2018"
"179","moshi",1,-0.958474338054657,"10","2018"
"180","moshi",1,-0.933160543441772,"10","2018"
"181","moshi",1,-0.933160543441772,"10","2018"
"182","moshi",1,-0.920319378376007,"10","2018"
"183","moshi",1,-0.907478332519531,"10","2018"
"184","moshi",1,-0.894637405872345,"10","2018"
"185","moshi",1,-0.988600313663483,"10","2018"
"186","moshi",1,-1.01178169250488,"10","2018"
"187","moshi",1,-1.01134562492371,"10","2018"
"188","moshi",1,-1.01134562492371,"10","2018"
"189","moshi",1,-0.923578560352325,"10","2018"
"190","moshi",1,-0.89898419380188,"10","2018"
"191","moshi",1,-0.89898419380188,"10","2018"
"192","moshi",1,-0.89898419380188,"10","2018"
"193","moshi",1,-0.89898419380188,"10","2018"
"194","moshi",1,-0.89898419380188,"10","2018"
"195","moshi",1,-0.89898419380188,"10","2018"
"196","moshi",1,-0.938836872577667,"10","2018"
"197","moshi",1,-0.84341025352478,"10","2018"
