"","District","value.ID","value.SO2_column_number_density","month","year","so2"
"98","moshi",1,20.5228710174561,"01","2019","SO2"
"99","moshi",1,20.5228710174561,"01","2019","SO2"
"100","moshi",1,-15.464822769165,"01","2019","SO2"
"101","moshi",1,-28.746898651123,"01","2019","SO2"
"102","moshi",1,-56.3709487915039,"01","2019","SO2"
"103","moshi",1,-61.3748588562012,"01","2019","SO2"
"104","moshi",1,-43.5635375976562,"01","2019","SO2"
"105","moshi",1,31.5702724456787,"01","2019","SO2"
"106","moshi",1,37.9543418884277,"01","2019","SO2"
"107","moshi",1,37.9543418884277,"01","2019","SO2"
"108","moshi",1,37.9543418884277,"01","2019","SO2"
"109","moshi",1,4.14864444732666,"01","2019","SO2"
"110","moshi",1,37.9543418884277,"01","2019","SO2"
"111","moshi",1,42.4511756896973,"01","2019","SO2"
"112","moshi",1,42.4511756896973,"01","2019","SO2"
"113","moshi",1,13.4196538925171,"01","2019","SO2"
"114","moshi",1,15.6722269058228,"01","2019","SO2"
"115","moshi",1,-24.8915214538574,"02","2019","SO2"
"116","moshi",1,-24.8915214538574,"02","2019","SO2"
"117","moshi",1,-30.3915386199951,"02","2019","SO2"
"118","moshi",1,-25.2783031463623,"02","2019","SO2"
"119","moshi",1,-25.2783031463623,"02","2019","SO2"
"120","moshi",1,-30.3915386199951,"02","2019","SO2"
"121","moshi",1,-12.8089570999146,"02","2019","SO2"
"122","moshi",1,-18.7148094177246,"02","2019","SO2"
"123","moshi",1,-18.7149715423584,"02","2019","SO2"
"124","moshi",1,-18.7149715423584,"02","2019","SO2"
"125","moshi",1,-33.5157356262207,"02","2019","SO2"
"126","moshi",1,-46.8683738708496,"02","2019","SO2"
"127","moshi",1,-30.3915386199951,"02","2019","SO2"
"128","moshi",1,-5.28554248809814,"02","2019","SO2"
"129","moshi",1,-21.3619441986084,"02","2019","SO2"
"130","moshi",1,-9.925537109375,"02","2019","SO2"
"131","moshi",1,-12.5380964279175,"02","2019","SO2"
"132","moshi",1,-24.8915214538574,"02","2019","SO2"
"133","moshi",1,-18.7148094177246,"02","2019","SO2"
"134","moshi",1,-18.7148094177246,"02","2019","SO2"
"135","moshi",1,-30.3915386199951,"02","2019","SO2"
"136","moshi",1,-35.8915557861328,"02","2019","SO2"
"137","moshi",1,-30.3915386199951,"02","2019","SO2"
"138","moshi",1,-12.615406036377,"02","2019","SO2"
"139","moshi",1,37.2124519348145,"02","2019","SO2"
"140","moshi",1,64.8933639526367,"02","2019","SO2"
"141","moshi",1,-43.5541038513184,"02","2019","SO2"
"142","moshi",1,-15.3132190704346,"02","2019","SO2"
"143","moshi",1,-18.7148094177246,"02","2019","SO2"
"144","moshi",1,-18.7148094177246,"02","2019","SO2"
"145","moshi",1,-18.7148094177246,"02","2019","SO2"
"146","moshi",1,-30.3915386199951,"02","2019","SO2"
